time,lat_site_1,lon_site_1,CHL_1,lat_site_2,lon_site_2,CHL_2,lat_site_3,lon_site_3,CHL_3,lat_site_4,lon_site_4,CHL_4
2013-03-25,6.104164,116.10417,0.4831278,6.0624976,116.10417,3.0349061,6.0208306,116.10417,4.166917,6.0208306,116.06251,3.042427
2013-03-26,6.104164,116.10417,0.51586235,6.0624976,116.10417,3.3857963,6.0208306,116.10417,5.149098,6.0208306,116.06251,3.2313244
2013-03-27,6.104164,116.10417,0.3544403,6.0624976,116.10417,0.93920726,6.0208306,116.10417,0.9614682,6.0208306,116.06251,0.7711592
2013-03-28,6.104164,116.10417,0.39490327,6.0624976,116.10417,0.83070195,6.0208306,116.10417,1.8468903,6.0208306,116.06251,1.2186507
2013-03-29,6.104164,116.10417,0.35151067,6.0624976,116.10417,0.67339104,6.0208306,116.10417,1.3425767,6.0208306,116.06251,0.8948951
2013-03-30,6.104164,116.10417,0.22733498,6.0624976,116.10417,0.24886276,6.0208306,116.10417,0.27014014,6.0208306,116.06251,0.24683139
2013-03-31,6.104164,116.10417,0.29708052,6.0624976,116.10417,0.3565674,6.0208306,116.10417,0.32195148,6.0208306,116.06251,0.28013724
2013-04-01,6.104164,116.10417,0.29708344,6.0624976,116.10417,0.36532623,6.0208306,116.10417,0.33433914,6.0208306,116.06251,0.29890776
2013-04-02,6.104164,116.10417,0.5490628,6.0624976,116.10417,2.195712,6.0208306,116.10417,1.651812,6.0208306,116.06251,1.1960717
2013-04-03,6.104164,116.10417,0.20407519,6.0624976,116.10417,0.7212144,6.0208306,116.10417,1.6288033,6.0208306,116.06251,1.5810984
2013-04-04,6.104164,116.10417,0.82989204,6.0624976,116.10417,0.270264,6.0208306,116.10417,0.3135257,6.0208306,116.06251,0.295688
2013-04-05,6.104164,116.10417,0.14212592,6.0624976,116.10417,0.15587984,6.0208306,116.10417,0.1661572,6.0208306,116.06251,0.1666455
2013-04-06,6.104164,116.10417,0.19392172,6.0624976,116.10417,0.19352421,6.0208306,116.10417,0.20798846,6.0208306,116.06251,0.2184868
2013-04-07,6.104164,116.10417,0.19247879,6.0624976,116.10417,0.18963517,6.0208306,116.10417,0.19958381,6.0208306,116.06251,0.19719681
2013-04-08,6.104164,116.10417,0.2089547,6.0624976,116.10417,0.21650687,6.0208306,116.10417,0.2422281,6.0208306,116.06251,0.2422281
2013-04-09,6.104164,116.10417,0.29039434,6.0624976,116.10417,0.31824893,6.0208306,116.10417,0.353737,6.0208306,116.06251,0.3317526
2013-04-10,6.104164,116.10417,0.30658856,6.0624976,116.10417,0.50915,6.0208306,116.10417,0.39824826,6.0208306,116.06251,0.39509726
2013-04-11,6.104164,116.10417,0.3143981,6.0624976,116.10417,0.5153868,6.0208306,116.10417,0.40224952,6.0208306,116.06251,0.3977605
2013-04-12,6.104164,116.10417,0.35388696,6.0624976,116.10417,0.5743637,6.0208306,116.10417,0.5763228,6.0208306,116.06251,0.55955446
2013-04-13,6.104164,116.10417,0.4801785,6.0624976,116.10417,2.2640483,6.0208306,116.10417,2.5512352,6.0208306,116.06251,2.0860887
2013-04-14,6.104164,116.10417,0.22973795,6.0624976,116.10417,0.3595019,6.0208306,116.10417,0.38313434,6.0208306,116.06251,0.3834069
2013-04-15,6.104164,116.10417,0.25265166,6.0624976,116.10417,0.33110756,6.0208306,116.10417,0.35015145,6.0208306,116.06251,0.35065696
2013-04-16,6.104164,116.10417,0.37595513,6.0624976,116.10417,0.42175278,6.0208306,116.10417,0.48343274,6.0208306,116.06251,0.6470046
2013-04-17,6.104164,116.10417,0.42081755,6.0624976,116.10417,0.5412934,6.0208306,116.10417,0.42283162,6.0208306,116.06251,0.7614785
2013-04-18,6.104164,116.10417,0.37660518,6.0624976,116.10417,2.9338045,6.0208306,116.10417,3.0371711,6.0208306,116.06251,2.7477248
